id;total_study_time;total_pomodoro_session;daily_streaks;most_focused_period;task_completion_rate;average_focus_duration;focus_count;total_focus_duration;session_record;total_break_time;average_break_duration
1;69172;49793;46990;2024-03-09T08:31:27;71965;39900;27714;6424;47314;6084;98330
2;95784;12102;31522;2024-03-09T22:08:00;79454;3699;6065;91507;69169;2065;78198
3;76992;91105;19076;2024-03-09T22:22:33;88744;43837;35816;5719;75886;67927;27532
4;89188;78710;87711;2024-03-09T07:34:20;17770;68411;60706;65189;8534;28607;94378
5;27421;15182;84200;2024-03-09T10:34:49;73665;51626;66040;17879;33176;90000;93857
6;84189;74353;7013;2024-03-09T20:21:38;33923;62031;93975;29318;78592;20921;94030
7;19822;45740;86487;2024-03-09T11:40:14;15403;81637;90371;53218;3983;45458;73962
8;73737;4608;78301;2024-03-09T09:39:28;27343;12183;47067;43836;38260;58216;94910
9;47762;99693;52356;2024-03-09T13:27:29;86415;23133;73092;33309;24715;18790;12211
10;785;53923;87354;2024-03-09T23:01:24;62017;10933;12020;19063;3816;11991;66497
