id;content;sent_time;status;has_attachment;is_pinned
1;Solutions Wooden;2024-03-09T01:38:00;DELIVERED;true;true
2;experiences;2024-03-09T06:52:15;SENT;true;true
3;Franc;2024-03-09T13:14:17;READ;true;false
4;primary Fish;2024-03-09T19:29:38;SENT;true;false
5;executive engine;2024-03-09T16:33:29;READ;false;true
6;Fantastic green Total;2024-03-09T22:41:39;READ;false;true
7;Industrial;2024-03-09T13:03:43;DELIVERED;false;true
8;Virginia XML;2024-03-09T16:36:22;READ;false;false
9;Tuvalu Ergonomic;2024-03-09T15:49:45;READ;true;true
10;responsive Internal;2024-03-09T08:48:24;SENT;false;true
