id;title;description;state;playlist_url
1;Washington;one-to-one;NEXT_SONG;Wooden Cape Concrete
2;bus Michigan Officer;Ergonomic;STOPPED;silver
3;Fantastic Islands;24/7 Afghani Ergonomic;NEXT_SONG;B2C Brand PCI
4;yellow;Soft;STARTED;modular
5;Strategist Ergonomic Keyboard;Metal green granular;STOPPED;bypassing
6;Cordoba bypassing incubate;Shoes Jersey Streets;PREVIOUS_SONG;Checking payment white
7;protocol Garden Berkshire;Ville blue Roads;NEXT_SONG;Group
8;bypass;Future Architect Coordinator;NEXT_SONG;Liaison
9;Stravenue convergence SMTP;Accountability Auto;STARTED;Shoes auxiliary
10;Crescent input dot-com;encryption Designer;NEXT_SONG;gold Borders
