id;start_time;end_time;state;type;duration
1;2024-03-09T08:03:51;2024-03-09T10:18:12;COMPLETED;POMODORO_TIMER;21133
2;2024-03-09T03:41:50;2024-03-09T15:58:28;RESET;SHORT_BREAK_TIMER;34925
3;2024-03-09T01:15:05;2024-03-09T10:18:25;COMPLETED;SHORT_BREAK_TIMER;72377
4;2024-03-09T02:06:26;2024-03-09T08:58:15;RESET;LONG_BREAK_TIMER;98630
5;2024-03-09T07:45:25;2024-03-09T09:06:22;COMPLETED;POMODORO_TIMER;26769
6;2024-03-09T08:00:55;2024-03-09T00:18:21;COMPLETED;SHORT_BREAK_TIMER;91930
7;2024-03-09T15:18:48;2024-03-09T15:48:56;COMPLETED;SHORT_BREAK_TIMER;48109
8;2024-03-09T11:24:54;2024-03-09T08:58:26;COMPLETED;LONG_BREAK_TIMER;85420
9;2024-03-09T13:44:29;2024-03-09T11:59:43;PAUSED;POMODORO_TIMER;33491
10;2024-03-09T22:26:27;2024-03-09T03:24:51;PAUSED;SHORT_BREAK_TIMER;90495
